41.754,-28.354
46.191,-15.796
50.776,-5.048
53.443,1.928
55.557,8.152
58.361,19.028
61.110,28.585
62.049,32.955
63.431,36.586
64.345,38.599
66.297,41.816
68.248,44.351
70.688,46.739
72.981,48.737
75.957,50.687
79.470,52.539
83.178,53.660
86.886,54.489
90.008,55.269
92.954,56.168
96.906,57.728
100.809,59.532
104.468,61.676
107.591,63.675
111.494,66.599
114.421,69.377
117.511,72.581
120.390,76.139
122.634,79.064
123.902,82.281
124.927,86.570
125.366,90.859
125.610,94.052
125.366,98.341
124.683,103.508
123.902,107.114
122.532,110.709
119.654,116.850
116.970,120.944
113.897,124.795
110.427,128.326
105.109,132.323
101.498,134.370
97.156,136.369
92.747,137.747
88.551,138.820
82.648,139.356
76.695,139.307
71.329,138.478
66.206,136.967
61.132,134.920
57.210,132.809
53.112,129.933
49.209,126.570
45.598,122.524
42.720,118.381
40.564,114.748
38.613,110.263
37.393,106.267
36.514,102.345
35.929,97.861
35.831,93.523
36.026,90.160
36.709,85.627
37.883,81.206
39.395,77.014
40.225,74.430
40.908,71.262
41.444,66.924
42.080,62.168
42.227,56.855
42.129,52.323
41.787,47.903
41.006,42.737
39.689,36.303
37.539,29.744
35.148,23.018
33.148,16.486
30.512,8.654
28.512,1.928
25.292,-8.259
